code,name,legacyCodes,scene,domain,metricType,unit,aggregation,direction,definition,formula,sourceIds,sourceLocators,provenanceLevel,reviewStatus,reviewDecision,reviewComment
CNB018,个人贷款余额,ZB006,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计个人贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB019,短期贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计短期贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB020,中长期贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计中长期贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB021,流动资金贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计流动资金贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB022,固定资产贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计固定资产贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB023,个人住房贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计个人住房贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB024,个人消费贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计个人消费贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB025,个人经营贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计个人经营贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB026,普惠型小微企业贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计普惠型小微企业贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB027,涉农贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计涉农贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB028,绿色贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计绿色贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB029,制造业贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计制造业贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB030,科技型企业贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计科技型企业贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB031,信用贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计信用贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB032,保证贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计保证贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB033,抵押贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计抵押贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB034,质押贷款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计质押贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB035,票据融资余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计票据融资余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB036,贴现余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计贴现余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB037,贷款承诺余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计贷款承诺余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB038,债券投资余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计债券投资余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB039,同业资产余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计同业资产余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB040,金融投资余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计金融投资余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB041,生息资产余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计生息资产余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB042,计息负债余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计计息负债余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB043,总资产,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计总资产在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB044,总负债,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计总负债在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB045,存贷比,,OPERATIONS,assets_liabilities_deposits_loans,DERIVED,%,RATIO,CONTEXT_DEPENDENT,以各项贷款余额与各项存款余额按百分比口径计算存贷比，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验精确公式与适用范围。,"{""expression"": ""各项贷款余额 / 各项存款余额 * 100"", ""operands"": [""CNB016"", ""CNB001""], ""operation"": ""DIVIDE_PERCENT""}",PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB046,营业收入,ZB009,OPERATIONS,income_profit_cost_efficiency,BASE,万元,SUM,HIGHER_IS_BETTER,统计营业收入在指定期间或时点的报告值，用于分析收入结构、成本投入、盈利能力和人均产出；正式发布前须核验范围、计量基础和时间口径。,,MOF-BANK-PERFORMANCE-2020|NFRA-MAJOR-INDICATORS-2025,发展质量、经营效益与财务指标主题，具体条目待人工核验|发展质量、经营效益与财务指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
